,0,1
313,2.1525657,-1.2033529
314,2.0933754,-1.31754
315,2.1991181,-1.2829124
316,1.8655657,-1.3180823
317,2.0852547,-1.317958
318,2.2444954,-0.9124252
319,2.2450163,-0.9145263
320,2.2458506,-0.91209346
321,2.1195536,-1.4916244
322,2.1490333,-1.5157542
323,1.8505716,-1.5178206
324,1.856253,-1.4632792
325,1.9199867,-1.3904246
326,2.0402026,-1.0990357
327,1.9798698,-1.3868656
328,1.859939,-1.2166814
329,2.3006945,-0.27286285
330,2.1602926,-1.202102
331,2.1737776,-1.332414
332,2.082834,-1.2615286
333,2.048804,-1.3229276
334,2.0422707,-1.0927639
335,2.0523057,-1.2321007
336,2.342154,-1.0766208
337,2.3435626,-1.5936093
338,2.086938,-1.2446554
339,2.0570183,-1.3238689
340,2.1468577,-1.2100595
341,2.053757,-1.2289884
342,2.33987,-1.0711497
343,3.3121607,-3.2899687
344,2.0820234,-1.3131509
345,1.2308089,-0.81716126
346,2.0820234,-1.3131509
347,2.0956275,-1.2452403
348,2.0820234,-1.3131509
349,2.1699066,-1.3323674
350,-5.0917473,2.0063748
351,-5.0845175,2.0094068
352,-4.92136,1.9897286
353,-4.968835,2.018533
354,-4.9177322,1.9977942
355,-4.9177322,1.9977942
356,-4.91167,2.0192637
357,-4.960964,1.9977642
358,-4.966688,1.9583875
359,-4.956317,1.9857898
360,-4.968835,2.018533
361,-4.9237356,2.0012476
362,-4.9237356,2.0012476
363,-4.8951583,2.0661306
364,-4.911914,2.052445
365,-5.0856733,2.00884
366,-5.037852,1.8610871
367,-5.0364027,1.8601298
368,-4.9911923,1.9030595
369,-4.968835,2.018533
370,-4.896047,2.0274453
371,-5.1580167,2.2722108
372,-4.896047,2.0274453
373,-4.918914,2.05189
374,-4.968835,2.018533
375,-5.0035424,1.9999375
376,-4.954878,1.9198031
377,-4.975738,1.9973294
378,-5.0361013,1.8642607
379,-5.0361013,1.8642607
380,-4.9648004,2.0078175
381,-4.978742,2.0223494
382,-4.966533,2.0123963
383,-4.914743,2.0660887
384,-4.9655147,2.0157197
385,-4.953559,2.0278504
